kode dapil;jenis dapil;nama dapil;kode wilayah;tingkatan wilayah;nama;is_pecah
1301;DPR RI;SUMATERA BARAT I;1373;Kabupaten/Kota;KOTA SAWAHLUNTO;FALSE
1301;DPR RI;SUMATERA BARAT I;1374;Kabupaten/Kota;KOTA PADANG PANJANG;FALSE
1302;DPR RI;SUMATERA BARAT II;1305;Kabupaten/Kota;PADANG PARIAMAN;FALSE
1302;DPR RI;SUMATERA BARAT II;1306;Kabupaten/Kota;AGAM;FALSE
1302;DPR RI;SUMATERA BARAT II;1307;Kabupaten/Kota;LIMA PULUH KOTA;FALSE
1302;DPR RI;SUMATERA BARAT II;1308;Kabupaten/Kota;PASAMAN;FALSE
1302;DPR RI;SUMATERA BARAT II;1312;Kabupaten/Kota;PASAMAN BARAT;FALSE
1302;DPR RI;SUMATERA BARAT II;1375;Kabupaten/Kota;KOTA BUKITTINGGI;FALSE
1302;DPR RI;SUMATERA BARAT II;1376;Kabupaten/Kota;KOTA PAYAKUMBUH;FALSE
1302;DPR RI;SUMATERA BARAT II;1377;Kabupaten/Kota;KOTA PARIAMAN;FALSE
1401;DPR RI;RIAU I;1403;Kabupaten/Kota;BENGKALIS;FALSE
1401;DPR RI;RIAU I;1406;Kabupaten/Kota;ROKAN HULU;FALSE
1401;DPR RI;RIAU I;1407;Kabupaten/Kota;ROKAN HILIR;FALSE
1401;DPR RI;RIAU I;1408;Kabupaten/Kota;SIAK;FALSE
1401;DPR RI;RIAU I;1410;Kabupaten/Kota;KEPULAUAN MERANTI;FALSE
1401;DPR RI;RIAU I;1471;Kabupaten/Kota;KOTA PEKANBARU;FALSE
1401;DPR RI;RIAU I;1472;Kabupaten/Kota;KOTA DUMAI;FALSE
1402;DPR RI;RIAU II;1401;Kabupaten/Kota;KAMPAR;FALSE
1402;DPR RI;RIAU II;1402;Kabupaten/Kota;INDRAGIRI HULU;FALSE
1402;DPR RI;RIAU II;1404;Kabupaten/Kota;INDRAGIRI HILIR;FALSE
1402;DPR RI;RIAU II;1405;Kabupaten/Kota;PELALAWAN;FALSE
1402;DPR RI;RIAU II;1409;Kabupaten/Kota;KUANTAN SINGINGI;FALSE
1501;DPR RI;JAMBI I;1501;Kabupaten/Kota;KERINCI;FALSE
1501;DPR RI;JAMBI I;1502;Kabupaten/Kota;MERANGIN;FALSE
1501;DPR RI;JAMBI I;1503;Kabupaten/Kota;SAROLANGUN;FALSE
1501;DPR RI;JAMBI I;1504;Kabupaten/Kota;BATANGHARI;FALSE
1501;DPR RI;JAMBI I;1505;Kabupaten/Kota;MUARO JAMBI;FALSE
1501;DPR RI;JAMBI I;1506;Kabupaten/Kota;TANJUNG JABUNG BARAT;FALSE
1501;DPR RI;JAMBI I;1507;Kabupaten/Kota;TANJUNG JABUNG TIMUR;FALSE
1501;DPR RI;JAMBI I;1508;Kabupaten/Kota;BUNGO;FALSE
1501;DPR RI;JAMBI I;1509;Kabupaten/Kota;TEBO;FALSE
1501;DPR RI;JAMBI I;1571;Kabupaten/Kota;KOTA JAMBI;FALSE
1501;DPR RI;JAMBI I;1572;Kabupaten/Kota;KOTA SUNGAI PENUH;FALSE
1601;DPR RI;SUMATERA SELATAN I;1605;Kabupaten/Kota;MUSI RAWAS;FALSE
1601;DPR RI;SUMATERA SELATAN I;1606;Kabupaten/Kota;MUSI BANYUASIN;FALSE
1601;DPR RI;SUMATERA SELATAN I;1607;Kabupaten/Kota;BANYUASIN;FALSE
1601;DPR RI;SUMATERA SELATAN I;1613;Kabupaten/Kota;MUSI RAWAS UTARA;FALSE
1601;DPR RI;SUMATERA SELATAN I;1671;Kabupaten/Kota;KOTA PALEMBANG;FALSE
1601;DPR RI;SUMATERA SELATAN I;1673;Kabupaten/Kota;KOTA LUBUK LINGGAU;FALSE
1602;DPR RI;SUMATERA SELATAN II;1601;Kabupaten/Kota;OGAN KOMERING ULU;FALSE
1602;DPR RI;SUMATERA SELATAN II;1602;Kabupaten/Kota;OGAN KOMERING ILIR;FALSE
1602;DPR RI;SUMATERA SELATAN II;1603;Kabupaten/Kota;MUARA ENIM;FALSE
1602;DPR RI;SUMATERA SELATAN II;1604;Kabupaten/Kota;LAHAT;FALSE
1602;DPR RI;SUMATERA SELATAN II;1608;Kabupaten/Kota;OGAN KOMERING ULU TIMUR;FALSE
1602;DPR RI;SUMATERA SELATAN II;1609;Kabupaten/Kota;OGAN KOMERING ULU SELATAN;FALSE
1602;DPR RI;SUMATERA SELATAN II;1610;Kabupaten/Kota;OGAN ILIR;FALSE
1602;DPR RI;SUMATERA SELATAN II;1611;Kabupaten/Kota;EMPAT LAWANG;FALSE
1602;DPR RI;SUMATERA SELATAN II;1612;Kabupaten/Kota;PENUKAL ABAB LEMATANG ILIR;FALSE
1602;DPR RI;SUMATERA SELATAN II;1672;Kabupaten/Kota;KOTA PAGAR ALAM;FALSE
1602;DPR RI;SUMATERA SELATAN II;1674;Kabupaten/Kota;KOTA PRABUMULIH;FALSE
1701;DPR RI;BENGKULU I;1701;Kabupaten/Kota;BENGKULU SELATAN;FALSE
1701;DPR RI;BENGKULU I;1702;Kabupaten/Kota;REJANG LEBONG;FALSE
1701;DPR RI;BENGKULU I;1703;Kabupaten/Kota;BENGKULU UTARA;FALSE
1701;DPR RI;BENGKULU I;1704;Kabupaten/Kota;KAUR;FALSE
1701;DPR RI;BENGKULU I;1705;Kabupaten/Kota;SELUMA;FALSE
1701;DPR RI;BENGKULU I;1706;Kabupaten/Kota;MUKO MUKO;FALSE
1701;DPR RI;BENGKULU I;1707;Kabupaten/Kota;LEBONG;FALSE
1701;DPR RI;BENGKULU I;1708;Kabupaten/Kota;KEPAHIANG;FALSE
1701;DPR RI;BENGKULU I;1709;Kabupaten/Kota;BENGKULU TENGAH;FALSE
1701;DPR RI;BENGKULU I;1771;Kabupaten/Kota;KOTA BENGKULU;FALSE
1801;DPR RI;LAMPUNG I;1801;Kabupaten/Kota;LAMPUNG SELATAN;FALSE
1801;DPR RI;LAMPUNG I;1804;Kabupaten/Kota;LAMPUNG BARAT;FALSE
1801;DPR RI;LAMPUNG I;1806;Kabupaten/Kota;TANGGAMUS;FALSE
1801;DPR RI;LAMPUNG I;1809;Kabupaten/Kota;PESAWARAN;FALSE
1801;DPR RI;LAMPUNG I;1810;Kabupaten/Kota;PRINGSEWU;FALSE
1801;DPR RI;LAMPUNG I;1813;Kabupaten/Kota;PESISIR BARAT;FALSE
1801;DPR RI;LAMPUNG I;1871;Kabupaten/Kota;KOTA BANDAR LAMPUNG;FALSE
1801;DPR RI;LAMPUNG I;1872;Kabupaten/Kota;KOTA METRO;FALSE
1802;DPR RI;LAMPUNG II;1802;Kabupaten/Kota;LAMPUNG TENGAH;FALSE
1802;DPR RI;LAMPUNG II;1803;Kabupaten/Kota;LAMPUNG UTARA;FALSE
1802;DPR RI;LAMPUNG II;1805;Kabupaten/Kota;TULANG BAWANG;FALSE
1802;DPR RI;LAMPUNG II;1807;Kabupaten/Kota;LAMPUNG TIMUR;FALSE
1802;DPR RI;LAMPUNG II;1808;Kabupaten/Kota;WAY KANAN;FALSE
1802;DPR RI;LAMPUNG II;1811;Kabupaten/Kota;MESUJI;FALSE
1802;DPR RI;LAMPUNG II;1812;Kabupaten/Kota;TULANG BAWANG BARAT;FALSE
1901;DPR RI;KEPULAUAN BANGKA BELITUNG I;1901;Kabupaten/Kota;BANGKA;FALSE
1901;DPR RI;KEPULAUAN BANGKA BELITUNG I;1902;Kabupaten/Kota;BELITUNG;FALSE
1901;DPR RI;KEPULAUAN BANGKA BELITUNG I;1903;Kabupaten/Kota;BANGKA SELATAN;FALSE
1901;DPR RI;KEPULAUAN BANGKA BELITUNG I;1904;Kabupaten/Kota;BANGKA TENGAH;FALSE
1901;DPR RI;KEPULAUAN BANGKA BELITUNG I;1905;Kabupaten/Kota;BANGKA BARAT;FALSE
1901;DPR RI;KEPULAUAN BANGKA BELITUNG I;1906;Kabupaten/Kota;BELITUNG TIMUR;FALSE
1901;DPR RI;KEPULAUAN BANGKA BELITUNG I;1971;Kabupaten/Kota;KOTA PANGKAL PINANG;FALSE
2101;DPR RI;KEPULAUAN RIAU I;2101;Kabupaten/Kota;BINTAN;FALSE
2101;DPR RI;KEPULAUAN RIAU I;2102;Kabupaten/Kota;KARIMUN;FALSE
2101;DPR RI;KEPULAUAN RIAU I;2103;Kabupaten/Kota;NATUNA;FALSE
